Qualification_level,Awarding_institution,"Qualification Name",Qualification_Code,Date_Awarded,Where_Qualification_is_approved,Awarding_Institution_Country,Important_Information
Diploma,"Any UK accredited training organisations","Higher National Certificate - Early Education and Childcare",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Any UK accredited training organisations","Higher National Certificate - Early Years and Child Care",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Any UK accredited training organisations","NVQ Level 3 Diploma in Early Years Care and Education",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Any UK accredited training organisations","SQA Level 3 SVQ in Children's Care Learning and Development","G81X 23","Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Any UK accredited training organisations","SQA Level 3 SVQ in Early Years Care and Education","G45V 23","Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Arya Vidya Manoir Institute of Education (University of Mumbai)","Diploma in Early Childhood Care and Education",,"Any date before 1 January 2012",Queensland,India,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"ASA Institute of Higher Education","Master of Teaching Early Childhood",MTEC,"Any date if enrolled prior to July 2031",National,Australia,"ACECQA assessed and approved this qualification on 9 July 2026."
ECT,"ASA Institute of Higher Education","Graduate Diploma of Early Childhood Education",GDECE,"Any date if enrolled prior to July 2031",National,Australia,"ACECQA assessed and approved this qualification on 9 July 2026."
"Emergency Asthma only","Asthma Australia","Course in Asthma Awareness",10760NAT,"Any date before August 2024",National,Australia,"ACECQA assessed and approved this program on 5 August 2019. This qualification only satisfies the requirements for emergency asthma training."
Diploma,"Auckland College of Education","Bachelor of Education (Teaching) - Early Childhood Pathway",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence. On 1 September 2004, the Auckland College of Education merged with Auckland University's School of Education to form the Faculty of Education"
Diploma,"Auckland College of Education","Diploma of Early Childhood Education (Pacific Islands)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence. On 1 September 2004, the Auckland College of Education merged with Auckland University's School of Education to form the Faculty of Education"
Diploma,"Auckland College of Education","Diploma of Teaching (Division E Kindergarten)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence. On 1 September 2004, the Auckland College of Education merged with Auckland University's School of Education to form the Faculty of Education"
Diploma,"Auckland College of Education","Diploma of Teaching (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence. On 1 September 2004, the Auckland College of Education merged with Auckland University's School of Education to form the Faculty of Education"
Diploma,"Auckland Institute of Technology","National Diploma in Early Childhood Group Education and Care",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Auckland University of Technology","Bachelor of Education (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Auckland University of Technology","Bachelor of Education (Early Childhood Teaching)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
