Qualification_level,Awarding_institution,"Qualification Name",Qualification_Code,Date_Awarded,Where_Qualification_is_approved,Awarding_Institution_Country,Important_Information
"Certificate III","Any NZ accredited training organisation","New Zealand National Nanny Certificate",100850,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","Any NZ accredited training organisation","National Certificate in Early Childhood Education and Care (Level 3)",0403,"Any date before January 2020",National,"New Zealand","ACECQA assessed and approved this program on 12 February 2014.This qualification is also known as the Level 3 National Certificate in Early Childhood Education and Care with course codes 403 / 403-3 / 403-4 /403-5 "
Diploma,"Any NZ accredited training organisation","National Certificate in Early Childhood Education and Care (Level 5)",0430,"Any date before 1 January 2020",National,"New Zealand","ACECQA assessed and approved this program on 10 March 2014.This qualification is also known as the Level 5 National Certificate in Early Childhood Education and Care with course codes 430 / 430-3 / 430-4 / 430- 5 or 0430 Version 3, 0430 Version 4, 0430 Version 5"
"Certificate III","Any NZ accredited training organisation","New Zealand Certificate in Early Childhood Education and Care (Introductory Skills) (Level 3)","2849 / NZ2849","Any date prior to July 2028",National,"New Zealand","Also known as New Zealand Certificate in Early Childhood Education and Care Level 3. ACECQA assessed and approved this qualification on 9 June 2023."
"Certificate III","Any NZ accredited training organisation","New Zealand Certificate in Early Childhood Education and Care (Level 4)",2850,"Any date prior to July 2028",National,"New Zealand","ACECQA assessed and approved this qualification on 9 June 2023."
Diploma,"Any NZ accredited training organisation","New Zealand Diploma in Early Childhood Education and Care (Level 5)",2851,"Any date prior to July 2028",National,"New Zealand","ACECQA assessed and approved this qualification on 9 June 2023."
Diploma,"Any NZ accredited training organisation","New Zealand Diploma in Early Childhood Education and Care (Level 6)",2852,"Any date prior to July 2028",National,"New Zealand","ACECQA assessed and approved this qualification on 9 June 2023."
"FDC coordinator (Qld)","Any training organisation or accredited higher education provider (click for examples)","Any 2 year or higher (fulltime equivalent) behavioural science qualification",,"Any date before 1 January 2012",Queensland,N/A,"Please see the separate list of former approved qualifications for family day care coordinators (in Queensland only) for examples of qualifications in this category: https://www.acecqa.gov.au/qualifications/requirements/family-day-care-s…"
"FDC coordinator (Qld)","Any training organisation or accredited higher education provider (click for examples)","Any 2 year or higher (fulltime equivalent) community services qualification",,"Any date before 1 January 2012",Queensland,N/A,"Please see the separate list of former approved qualifications for family day care coordinators (in Queensland only) for examples of qualifications in this category: https://www.acecqa.gov.au/qualifications/requirements/family-day-care-s…"
"FDC coordinator (Qld)","Any training organisation or accredited higher education provider (click for examples)","Any 2 year or higher (fulltime equivalent) creative arts, fine arts, drama or music qualification",,"Any date before 1 January 2012",Queensland,N/A,"Please see the separate list of former approved qualifications for family day care coordinators (in Queensland only) for examples of qualifications in this category: https://www.acecqa.gov.au/qualifications/requirements/family-day-care-s…"
"FDC coordinator (Qld)","Any training organisation or accredited higher education provider (click for examples)","Any 2 year or higher (fulltime equivalent) early childhood education and care qualification",,"Any date before 1 January 2012",Queensland,N/A,"Please see the separate list of former approved qualifications for family day care coordinators (in Queensland only) for examples of qualifications in this category: https://www.acecqa.gov.au/qualifications/requirements/family-day-care-s…"
"FDC coordinator (Qld)","Any training organisation or accredited higher education provider (click for examples)","Any 2 year or higher (fulltime equivalent) nursing, physiotherapy, occupational therapy, diversional therapy or speech pathology qualification",,"Any date before 1 January 2012",Queensland,N/A,"Please see the separate list of former approved qualifications for family day care coordinators (in Queensland only) for examples of qualifications in this category: https://www.acecqa.gov.au/qualifications/requirements/family-day-care-s…"
"FDC coordinator (Qld)","Any training organisation or accredited higher education provider (click for examples)","Any 2 year or higher (fulltime equivalent) primary, secondary or special education qualification",,"Any date before 1 January 2012",Queensland,N/A,"Please see the separate list of former approved qualifications for family day care coordinators (in Queensland only) for examples of qualifications in this category: https://www.acecqa.gov.au/qualifications/requirements/family-day-care-s…"
"FDC coordinator (Qld)","Any training organisation or accredited higher education provider (click for examples)","Any 2 year or higher (fulltime equivalent) sport and recreation qualification",,"Any date before 1 January 2012",Queensland,N/A,"Please see the separate list of former approved qualifications for family day care coordinators (in Queensland only) for examples of qualifications in this category: https://www.acecqa.gov.au/qualifications/requirements/family-day-care-s…"
"FDC coordinator (Qld)","Any training organisation or accredited higher education provider (click for examples)","Any 2 year or higher (fulltime equivalent) human welfare studies and services qualification",,"Any date before 1 January 2012",Queensland,N/A,"Please see the separate list of former approved qualifications for family day care coordinators (in Queensland only) for examples of qualifications in this category: https://www.acecqa.gov.au/qualifications/requirements/family-day-care-s…"
Diploma,"Any UK accredited training organisations","Higher National Certificate - Child Care and Education",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
